Id,Ingredients,Ingredients_tr
4546,herb garlic soup mix,ot sarımsak çorbası karışımı
4547,herb infused olive oil,bitki katkılı zeytinyağı
4548,herb infused virgin olive oil,bitki katkılı sızma zeytinyağı
4549,herb italian,bitki İtalyan
4550,herb lemon soup mix,bitki limon çorbası karışımı
4551,herb rosemary,bitki biberiye
4552,herb rub salt,bitki ovma tuzu
4553,herb salt,bitki tuzu
4554,herb seasoned bread stuffing mix,otlarla tatlandırılmış ekmek doldurma karışımı
4555,herb seasoned crouton,otlarla tatlandırılmış kruton
4556,herb seasoned stuffing mix,otlarla tatlandırılmış doldurma karışımı
4557,herb seasoning,bitki baharatı
4558,herb seasoning blend to,bitki baharat karışımı
4559,herb stuffing,ot doldurma
4560,herb stuffing mix,bitki dolması karışımı
4561,herb tea,bitki çayı
4562,herb vinegar,bitki sirkesi
4563,herbal tea,bitkisel çay
4564,herbe de provence,herbe de provence
4565,herbed bread stuffing mix,otlu ekmek dolması karışımı
4566,herbed cream cheese,otlu krem ​​peynir
4567,herbed feta cheese,otlu beyaz peynir
4568,herbed goat cheese,otlu keçi peyniri
4569,herbed vinaigrette salad dressing,otlu salata sosu
4570,herbes de Provence,Provence otları
4571,herman sourdough starter,herman ekşi maya başlatıcısı
4572,herring fillet,ringa balığı filetosu
4573,hershey s chocolate,hershey çikolatası
4574,hershey s cinnamon chip,hershey tarçınlı cips
4575,hershey s cocoa powder,hershey kakao tozu
4576,hershey s milk chocolate,hershey sütlü çikolata
4577,hershey s unsweetened chocolate,hershey şekersiz çikolata
4578,hibiscu flower,ebegümeci çiçeği
4579,hibiscu petal,ebegümeci yaprağı
4580,hibiscu salt,ebegümeci tuzu
4581,hibiscu tea,ebegümeci çayı
4582,hickory flavored barbecue sauce,ceviz aromalı barbekü sosu
4583,hickory flavored barbeque sauce,ceviz aromalı barbekü sosu
4584,hickory flavored liquid smoke,ceviz aromalı sıvı duman
4585,hickory salt,ceviz tuzu
4586,hickory smoke flavored barbeque sauce,ceviz dumanı aromalı barbekü sosu
4587,hickory smoke seasoning,ceviz dumanı baharatı
4588,hickory sugar barbecue sauce,ceviz şekeri barbekü sosu
4589,hickory wood,ceviz ağacı
4590,hickory wood chip,hickory ağaç yongası
4591,hidden cove lemon garlic blend,Hidden Cove limon-sarımsak karışımı (Savoury Spice Shop®'tan
4592,hidden original salad dressing,gizli orijinal salata sosu
4593,hidden original salad dressing seasoning mix,gizli orijinal salata sosu baharat karışımı
4594,hidden ranch seasoning,gizli çiftlik baharatı
4595,high fiber tortilla,yüksek lifli tortilla
4596,high gluten bread flour,yüksek glutenli ekmek unu
4597,high gluten flour,yüksek gluten unu
4598,high heat cooking oil,yüksek ısıda pişirme yağı
4599,high heat resistant vegetable oil,yüksek ısıya dayanıklı bitkisel yağ
4600,high protein bread flour,yüksek proteinli ekmek unu
4601,high protein crisp rice wheat cereal,yüksek proteinli gevrek pirinç buğday gevreği
4602,high protein wheat flour,yüksek proteinli buğday unu
4603,high quality,yüksek kalite
4604,high quality ahi tuna,yüksek kaliteli ahi ton balığı
4605,high quality balsamic vinegar,yüksek kaliteli balzamik sirke
4606,high quality charcoal briquette,yüksek kaliteli kömür briket
4607,high quality chocolate,yüksek kaliteli çikolata
4608,high quality milk chocolate,yüksek kaliteli sütlü çikolata
4609,high quality semisweet chocolate,yüksek kaliteli yarı tatlı çikolata
4610,high quality unsalted butter,yüksek kaliteli tuzsuz tereyağı
4611,high quality unsweetened cocoa powder,yüksek kaliteli şekersiz kakao tozu
4612,highland italian cheese sprinkle,yayla İtalyan peyniri serpin
4613,hijiki to,tatmak için hijiki (kurutulmuş deniz yosunu gevreği) ile shiso
4614,hillshire farm litl sausage,hillshire çiftliği sosis
4615,hillshire rope sausage,hillshire halat sosisi
4616,hillshire sausage,Hillshire sosisi
4617,himalayan rock salt,himalaya kaya tuzu
4618,himalayan salt,himalaya tuzu
4619,himalayan salt to,himalaya tuzu
4620,himalayan sea salt,himalaya deniz tuzu
4621,hing powder,menteşe tozu
4622,hoagie bun,hoagie topuzu
4623,hoagie roll,hoagie rulosu
4624,hoisin sauce,kuru üzüm sosu
4625,holiday baking peppermint,tatil pişirme nane
4626,holiday sprinkle,tatil serpintisi
4627,hollandaise sauce,Hollandaise sosu
4628,hollandaise sauce mix,Hollandaise sos karışımı
4629,home style bread,ev usulü ekmek
4630,homemade bechamel sauce,ev yapımı beşamel sos
4631,homemade beef broth,ev yapımı et suyu
4632,homemade beef gravy,ev yapımı sığır eti sosu
4633,homemade cherry juice,ev yapımı kiraz suyu
4634,homemade chicken broth low sodium canned broth,ev yapımı tavuk suyu düşük sodyum konserve et suyu
4635,homemade chicken stock,ev yapımı tavuk suyu
4636,homemade kefir,ev yapımı kefir
4637,homemade mayonnaise,ev yapımı mayonez
4638,homemade pumpkin puree,ev yapımı kabak püresi
4639,homemade purchased pesto,ev yapımı satın alınan pesto
4640,homemade sofrito,ev yapımı sofrito
4641,homemade store bought tomato sauce,ev yapımı mağazadan satın alınan domates sosu
4642,homemade vegetable stock,ev yapımı sebze suyu
4643,homestyle alfredo sauce,ev usulü alfredo sosu
4644,homestyle buttermilk biscuit,ev usulü ayran bisküvi
4645,hominy,hominy
4646,hominy grit,hominid kum
4647,honey,Bal
4648,honey agave,bal agav
4649,honey almond,bal badem
4650,honey barbecue sauce,bal barbekü sosu
4651,honey barbeque sauce,bal barbekü sosu
4652,honey butter,bal tereyağı
4653,honey date,bal tarihi
4654,honey dijon mustard,bal dijon hardalı
4655,honey drizzling,bal çiseleyen
4656,honey flavored goat cheese,bal aromalı keçi peyniri
4657,honey glazed almond,bal sırlı badem
4658,honey goat cheese,bal keçi peyniri
4659,honey graham cereal,bal graham mısır gevreği
4660,honey hickory barbeque sauce,bal cevizli barbekü sosu
4661,honey maid graham cracker crumb,bal hizmetçi graham kraker kırıntısı
4662,honey maid graham crumb,bal hizmetçisi graham kırıntısı
4663,honey maple syrup,bal akçaağaç şurubu
4664,honey molasse,bal pekmezi
4665,honey mustard,bal hardalı
4666,honey mustard dressing,bal hardal sosu
4667,honey mustard onion pretzel,bal hardallı soğan kraker
4668,honey mustard salad dressing,ballı hardal salatası sosu
4669,honey nut chex cereal,bal fındık chex tahıl
4670,honey nut peanut butter,bal fındık fıstık ezmesi
4671,honey oat cereal,bal yulaf gevreği
4672,honey peanut,bal fıstık
4673,honey peanut butter,bal fıstık ezmesi
4674,honey powder,bal tozu
4675,honey sunflower seed,bal ayçiçeği tohumu
4676,honey sweetened corn flake cereal,bal şekerli mısır gevreği tahıl
4677,honey sweetened granola,bal şekerli granola
4678,honey turkey,"pound bal ile kavrulmuş hindi, traş edilmiş"
4679,"honey, or to taste",bal veya tadı
4680,honeydew,özsu
4681,honeydew melon,ve sulu kavun
4682,honeydew melon ball cube,kavun topu küp
4683,honeynut squashe,bal kabağı
4684,horseradish,yaban turpu
4685,horseradish cheddar cheese,yaban turpu çedar peyniri
4686,horseradish chive compound butter,yaban turpu frenk soğanı bileşiği tereyağı
4687,horseradish mustard,yaban turpu hardalı
4688,horseradish root,yaban turpu kökü
4689,horseradish sauce,yaban turpu sosu
4690,hot cherry pepper hoagie spread (such as Cento,kiraz biberli hoagie kreması
4691,hot chili seasoning (such as McCormick®,ons) paket acı biber baharatı (McCormick® gibi
4692,"hot dog buns or kaiser rolls, split","sosisli çörek veya kaiser rulo, bölünmüş"
4693,hot dogs,sosisli sandviç
4694,hot green chile peppers,acı yeşil biber
4695,hot pepper sauce,acı biber sosu
4696,hot pepper sauce (e.g. Tabasco,acı biber sosu (örneğin Tabasco
4697,"hot pepper sauce (e.g. Tabasco"") to taste",tatmak için acı biber sosu (örneğin Tabasco
4698,"hot pepper sauce (e.g. Tabasco""), or to taste","acı biber sosu (örneğin Tabasco"") veya tadına göre"
4699,hot pepper sauce (such as Tabasco®,acı biber sosu (Tabasco® gibi
4700,"hot pepper sauce, or to taste",acı biber sosu veya tadı
4701,"hot sauce, or to taste",sos
4702,hot water,sıcak su
4703,house cucumber,ev salatalık
4704,hubbard squash,kibirli kabak
4705,hubbard squash cut into seed removed,kabak şeklinde kesilmiş
4706,huckleberry,yaban mersini
4707,hulled,kabuklu
4708,hulled barley,kabuklu arpa
4709,hulled hemp seed,kabuklu kenevir tohumu
4710,hulled millet,kabuklu darı
4711,hulled pumpkin seed,kabuklu kabak
4712,hulled strawberry,kabuklu çilek
4713,hulled sunflower seed,kabuklu ayçiçeği tohumu
4714,hummu,humu
4715,hummu spread,Humus yayılması
4716,hungarian paprika,Macar kırmızı biberi
4717,hungarian sausage,Macar sosisi
4718,hungry original syrup,aç orijinal şurup
4719,hungry pancake waffle mix,aç gözleme waffle karışımı
4720,hush puppy mix,sus köpek yavrusu karışımı
4721,husk,kabuk
4722,i cant believe its not spread,yayılmadığına inanamıyorum
4723,ice,buz
4724,ice buttermilk,buzlu ayran
4725,ice cream,dondurma
4726,ice cream cone,dondurma konisi
4727,ice cream rock salt,dondurma kaya tuzu
4728,ice cream sandwiche,dondurmalı sandviç
4729,ice cream sweetened whipped cream,dondurma şekerli çırpılmış krema
4730,ice cream topping,dondurma tepesi
4731,ice cube,buz küpü
4732,ice needed,"Gerektiğinde 0,5 bardak buz"
4733,ice peach nectar,buzlu şeftali nektarı
4734,ice sushi grade yellowfin tuna steak,buzlu suşi sınıfı sarı yüzgeçli ton balığı bifteği
4735,ice unsalted butter,buz tuzsuz tereyağı
4736,ice water,buzlu su
4737,iceberg,buzdağı
4738,iceberg lettuce,buzdağı marul
4739,iceberg salad,buzdağı salatası
4740,iced tea,buzlu çay
4741,iced tea powder,buzlu çay tozu
4742,iced water,buzlu su
4743,icing,krema
4744,icing gel,buzlanma jeli
4745,icing sugar,pudra şekeri
4746,idaho potato,idaho patatesi
4747,idahoan signature russet mashed potato,idahoan imzası kızıl patates püresi
4748,idahoreg russet potato,idahoreg kızıl patates
4749,imitation butter flavoring,taklit tereyağı aroması
4750,imitation chicken breast halve,taklit tavuk göğsü yarısı
4751,imitation crab,taklit yengeç
4752,imitation crab leg,taklit yengeç bacağı
4753,imitation crab lobster meat,taklit yengeç ıstakoz eti
4754,imitation crab meat,taklit yengeç eti
4755,imitation crab stick,taklit yengeç çubuğu
4756,imitation crabmeat,taklit yengeç eti
4757,imitation crabmeat strip,taklit yengeç eti şeridi
4758,"imitation crabmeat, flaked","ons) paket taklit yengeç eti, kuşbaşı"
4759,imitation maple flavor,taklit akçaağaç aroması
4760,imitation vanilla extract,taklit vanilya özü
4761,imitation vanilla flavoring,taklit vanilya aroması
4762,imported romano cheese,ithal Romano peyniri
4763,impossible burger,imkansız burger
4764,in juice,meyve suyunda
4765,in oil,yağda
4766,inch,inç
4767,inch asparagu,inç kuşkonmaz
4768,inch baguette,inç baget
4769,inch bamboo steamer basket lid,inç bambu vapur sepeti kapağı
4770,inch bean,inç fasulye
4771,inch beef top sirloin steak,inç kalınlığında sığır eti üst sığır filetosu biftek
4772,inch beet,inç pancar
4773,inch block styrofoam,inç blok strafor
4774,inch bread cube,inç ekmek küpü
4775,inch brioche,inç kalınlığında çörek
4776,inch broccoli floret,inç brokoli çiçeği
4777,inch butternut squash cube,inç balkabağı küpü
4778,inch carrot,inç havuç
4779,inch celery,inç kereviz
4780,inch cube,inç küp
4781,inch cube butternut squash,inç küp balkabağı
4782,inch cube day old brioche bread,inç küp günlük brioche ekmeği
4783,inch cube roast beef,inç küp kızartma sığır eti
4784,inch cube watermelon,inç küp karpuz
4785,inch cucumber slice,inç kalınlığında salatalık dilimi
4786,inch cut bean,inç kesilmiş fasulye
4787,inch diameter round brie cheese,inç çapında yuvarlak brie peyniri
4788,inch disposable aluminum baking pan,inç tek kullanımlık alüminyum fırın tepsisi
4789,inch double crust pie,inç çift kabuklu pasta
4790,inch eggplant,inç patlıcan
4791,inch filet mignon steak,inç kalınlığında fileto mignon bifteği
4792,inch flatbread,inç gözleme
4793,inch flour tortilla,inç un tortilla
4794,inch focaccia flatbread,inç focaccia gözleme
4795,inch foil baking,inç folyo pişirme
4796,inch french baguette,inç fransız baget
4797,inch gingersnap cooky,inç zencefilli kurabiye
4798,inch halloumi cheese slice,inç kalınlığında hellim peyniri dilimi
4799,inch heavy duty aluminum foil,inç ağır hizmet tipi alüminyum folyo
4800,inch honeydew,inç tatlı özsu
4801,inch keto pizza crust,inç keto pizza kabuğu
4802,inch lattice top pie,inç kafesli üst pasta
4803,inch lemongrass,inç limon otu
4804,inch long metal skewer,inç uzunluğunda metal şiş
4805,inch long vermicelli,inç uzunluğunda erişte
4806,inch mango,inç mango
4807,inch metal cookie cutter open top crumpet mold,inç metal kurabiye kesici üstü açık krep kalıbı
4808,inch mozzarella cheese,inç mozzarella peyniri
4809,inch new york strip steak,inç kalınlığında new york şerit bifteği
4810,inch onion,inç soğan
4811,inch parchment paper,inç parşömen kağıdı
4812,inch party meatball,inç parti köfte
4813,inch pastry shell,inç pasta kabuğu
4814,inch pie crust,inçlik pasta kabuğu
4815,inch pie shell,inç pasta kabuğu
4816,inch piece lemon grass,inç parça limon otu
4817,inch piece shrimp paste,inç parça karides ezmesi
4818,inch pizza crust,inç pizza kabuğu
4819,inch porterhouse steak,inç kalınlığında porterhouse bifteği
4820,inch potato,inç patates
4821,inch rhubarb,inç ravent
4822,inch rib eye steak,inç kalınlığında kaburga eti
4823,inch rice stick noodle,inç kalınlığında pirinç çubuk şehriye
4824,inch round cake layer,inç yuvarlak kek katmanı
4825,inch round metal cookie cutter,inç yuvarlak metal kurabiye kesici
4826,inch round paper cardboard stencil,inç yuvarlak kağıt karton şablon
4827,inch sausage,inç sosis
4828,inch seedless watermelon,inç çekirdeksiz karpuz
4829,inch seedless watermelon cube,inç çekirdeksiz karpuz küpü
4830,inch sheet puff pastry,inçlik puf böreği
4831,inch shell,inçlik pişmemiş tart kabukları
4832,inch shoestring licorice,inç ayakkabı bağı meyankökü
4833,inch single crust pie,inç tek kabuklu pasta
4834,inch single pie crust,inç tek pasta kabuğu
4835,inch slice chive,inç dilim frenk soğanı
4836,inch slice crusty bread,inç kalınlığında çıtır ekmek
4837,inch slice onion,inç dilim soğan
4838,inch slice rhubarb,inç dilim ravent
4839,inch slice trimmed rhubarb,inç kalınlığında kesilmiş ravent
4840,inch sprig rosemary,inç dal biberiye
4841,inch square aluminum foil,inç kare alüminyum folyo
4842,inch square cheesecloth,inç kare tülbent
4843,inch square heavy duty aluminum foil,inç kare ağır hizmet tipi alüminyum folyo
4844,inch square parchment paper,inç kare parşömen kağıdı
4845,inch stale bread cube,inç bayat ekmek küpü
4846,inch strip lemon zest,inç şerit limon kabuğu rendesi
4847,inch tomato slice,inç kalınlığında domates dilimi
4848,inch toothpick,inç kürdan
4849,inch tuna steak,inç kalınlığında ton balığı bifteği
4850,inch untreated cedar plank,inçlik işlenmemiş sedir tahtası
4851,inch vegan pie crust,inç vegan pasta kabuğu
4852,inch venison steak,inç kalınlığında geyik eti biftek
4853,inch watermelon,inç karpuz
4854,inch watermelon rind,inç karpuz kabuğu
4855,inch wide heavy duty aluminum foil,inç genişliğinde ağır hizmet tipi alüminyum folyo
4856,inch wide strip chicken breast,inç genişliğinde şerit tavuk göğsü
4857,inch wide strip lemon zest,inç genişliğinde şerit limon kabuğu rendesi
4858,inch wonton wrapper,inç wonton sarıcı
4859,inch wooden skewer,inç ahşap şiş
4860,inch) deep dish pie crust,inç) derin tabak pasta kabuğu
4861,"inch) squirts of pressurized canned cheese (such as Easy Cheese""), or to taste",inç) basınçlı konserve peynir (Kolay Peynir gibi) veya tadına göre
4862,india pickle relish,Hindistan turşusu tadı
4863,indian chili powder,Hint biber tozu
4864,indian curry powder,Hint köri tozu
4865,indian style tea,Hint tarzı çay
4866,individually wrapped caramel,ayrı ayrı sarılmış karamel
4867,infant oat cereal,bebek yulaf gevreği
4868,infant rice cereal,bebek pirinç gevreği
4869,injera,enjeksiyon
4870,inner celery leave,iç kereviz izni
4871,inner stalk celery leave,iç sap kereviz izni
4872,instant coffee granules,hazır kahve granülü
4873,instant espresso granules,espresso granülü
4874,"instant mashed potatoes (such as Idahoan"" Signature Russets Mashed Potatoes","ons) paket hazır patates püresi (Idahoan"" Signature Russets Patates Püresi gibi"
4875,iodized salt,iyotlu tuz
4876,irish butter,İrlanda tereyağı
4877,irish cheddar cheese,İrlanda çedar peyniri
4878,irish cheese,İrlanda peyniri
4879,irish cream,İrlanda kreması
4880,irish sausage,İrlanda sosisi
4881,iron steak,demir biftek
4882,israeli couscou,İsrail kuskus
4883,italian blend cheese,İtalyan harman peyniri
4884,italian blend vegetable,italyan karışımı sebze
4885,italian bread,İtalyan ekmeği
4886,italian bread crumb,İtalyan ekmek kırıntısı
4887,italian cheese blend,italyan peynir karışımı
4888,Italian cheese blend,italyan peynir karışımı
4889,italian cheese blend mozzarella cheese,italyan peyniri karışımı mozzarella peyniri
4890,italian chicken sausage,italyan tavuk sosisi
4891,italian cracker crumb,İtalyan kraker kırıntısı
4892,italian cream flavored creamer,İtalyan tatlı krema aromalı krema (Coffee-Mate®'den
4893,italian dressing,İtalyan sosu
4894,italian dressing mix,İtalyan sosu karışımı
4895,italian dressing seasoning mix,italyan sosu baharat karışımı
4896,italian eggplant,İtalyan patlıcan
4897,italian farro,İtalyan farro
4898,italian flat leaf parsley,italyan düz yaprak maydanoz
4899,italian flat leaf parsley leave,İtalyan düz yaprak maydanoz izni
4900,italian flavored bread crumb,İtalyan aromalı ekmek kırıntısı
4901,italian flavored tomato,italyan aromalı domates
4902,italian flavored tomato paste,italyan aromalı domates salçası
4903,italian flavored turkey sausage,italyan aromalı hindi sosisi
4904,italian gluten free bread crumb,İtalyan glutensiz ekmek kırıntısı
4905,italian herb,İtalyan otu
4906,italian herb blend,İtalyan bitki karışımı
4907,italian herb mix,İtalyan bitki karışımı
4908,italian herb polenta tube,İtalyan otu polenta tüpü
4909,italian herb saute saute starter,İtalyan otu sote sote başlangıç
4910,italian herb seasoning,İtalyan bitki baharatı
4911,italian link sausage,İtalyan bağlantı sosisi
4912,italian meatball,İtalyan köftesi
4913,italian mild sausage link,İtalyan hafif sosis bağlantısı
4914,italian olive,İtalyan zeytini
4915,italian olive bread,italyan zeytin ekmeği
4916,italian parsley,İtalyan maydanozu
4917,italian parsley leave,İtalyan maydanozu izni
4918,italian parsley long stem,italyan maydanozu uzun sap
4919,italian paste tomato,italyan salçası domates
4920,italian pizza crust,İtalyan pizza kabuğu
4921,italian plum,İtalyan erik
4922,italian plum tomato,İtalyan erik domatesi
4923,italian polenta,İtalyan polentası
4924,italian prune plum,İtalyan erik eriği
4925,italian salad dressing,italyan salata sosu
4926,italian salad dressing mix,italyan salata sosu karışımı
4927,italian sandwich roll,İtalyan sandviç rulosu
4928,italian sausage,İtalyan sosisi
4929,italian sausage link,İtalyan sosisi bağlantısı
4930,italian season bread crumb,İtalyan mevsimi ekmek kırıntısı
4931,italian seasoned bread crumb,İtalyan baharatlı ekmek kırıntısı
4932,italian seasoned gluten free bread crumb,İtalyan tecrübeli glutensiz ekmek kırıntısı
4933,italian seasoned panko,İtalyan tecrübeli panko
4934,italian seasoned panko bread crumb,italyan terbiyeli panko ekmek kırıntısı
4935,italian seasoned tomato,İtalyan baharatlı domates
4936,italian seasoned turkey,İtalyan baharatlı hindi
4937,italian seasoning,İtalyan baharatı
4938,Italian seasoning,İtalyan baharatı
4939,italian seasoning blend,İtalyan baharat karışımı
4940,italian seasoning to,İtalyan baharatı
4941,italian stewed tomato,İtalyan haşlanmış domates
4942,italian style bread crumb,İtalyan usulü ekmek kırıntısı
4943,italian style cheese,italyan usulü peynir
4944,italian style chicken sausage,italyan usulü tavuk sosisi
4945,italian style chicken sausage link,İtalyan usulü tavuk sosisi bağlantısı
4946,italian style meatball,italyan usulü köfte
4947,italian style panko bread crumb,İtalyan usulü panko ekmek kırıntısı
4948,italian style plum tomato,İtalyan usulü erik domates
4949,italian style salad dressing,italyan usulü salata sosu
4950,italian style salad dressing mix,İtalyan usulü salata sosu karışımı
4951,italian style seasoned bread crumb,İtalyan usulü baharatlı ekmek kırıntısı
4952,italian style seasoning,İtalyan usulü baharat
4953,italian style soffrito seasoning blend,İtalyan tarzı soffrito baharat karışımı
4954,italian style stewed tomato,italyan usulü haşlanmış domates
4955,italian style tip flour,İtalyan usulü uç unu
4956,italian style tipo flour,İtalyan usulü tipo unu
4957,italian style tomato,italyan usulü domates
4958,italian style tomato sauce,italyan usulü domates sosu
4959,italian style turkey sausage link,İtalyan usulü hindi sosisi bağlantısı
4960,italian style whole tomato,italyan usulü bütün domates
4961,italian tipo flour,İtalyan tipo unu
4962,italian tomato,İtalyan domatesi
4963,italian tomato sauce,italyan domates sosu
4964,italian tuna in olive oil,zeytinyağında İtalyan ton balığı
4965,italian turkey sausage,İtalyan hindi sosisi
4966,italian turkey sausage link,İtalyan hindi sosisi bağlantısı
4967,ivanhoe old cheddar,Ivanhoe eski çedar peyniri
4968,jaa jang myun noodle,jaa jang myun şehriye
4969,jack cheese,jack peyniri
4970,jackfruit,nefesi
4971,jackfruit in brine,salamurada jackfruit
4972,jaggery,pürüzlülük
4973,jalape o,jalapeno
4974,jalape o chile pepper,jalapeno şili biberi
4975,jalape o pepper,jalapeno biberi
4976,jalapeno,jalapeno
4977,jalapeno chile,jalapeno şili
4978,jalapeno chile pepper,jalapeno şili biberi
4979,jalapeno chili powder,jalapeno biber tozu
4980,jalapeno chily,jalapeno biber
4981,jalapeno flavored cream cheese,jalapeno aromalı krem ​​peynir
4982,jalapeno habanero peanut brittle,jalapeno habanero fıstık kırılgan
4983,jalapeno jack cheese,jalapeno jack peyniri
4984,jalapeno jelly,jalapeno jölesi
4985,jalapeno ketchup,jalapeno ketçap
4986,jalapeno pepper,jalapeno biberi
4987,jalapeno pepper cut into matchstick,kibrit çöpü şeklinde kesilmiş jalapeno biberi
4988,jalapeno pepper jelly,jalapeno biber jölesi
4989,jalapeno pepper juice,jalapeno biber suyu
4990,jalapeno pepper ring,jalapeno biber halkası
4991,jalapeno pepper slice,jalapeno biber dilimi
4992,jalapeno pepper stem seed removed pepper,jalapeno biber sapı biber
4993,jalapeno pepper stemmed,jalapeno biber saplı
4994,jalapeno pepper to,jalapeno biberi
4995,"jalapeno pepper, and","jalapeno biber, ve"
4996,jalapeno peppers,jalapeno biber
4997,"jalapeno peppers, and finely","jalapeno biber, çekirdekleri ve"
4998,jalapeno processed cheese spread,jalapeno işlenmiş peynir yayılması
4999,jalapeno salsa,jalapeno salsa
5000,jalapeno serrano chili pepper,jalapeno serrano biber
5001,jalapeno slice,jalapeno dilimi
5002,jalapeno stuffed olive,jalapeno zeytin dolması
5003,jam,reçel
5004,jamaican allspice,Jamaika yenibaharı
5005,jamaican curry powder,Jamaika köri tozu
5006,jamaican jerk seasoning,Jamaika pislik baharatı
5007,jamaican jerk seasoning blend,Jamaika pislik baharat karışımı
5008,jamaican pepper sauce,Jamaika biber sosu
5009,jamaican style curry powder,Jamaika usulü köri tozu
5010,jambalaya mix,Jambalaya karışımı
5011,jambalaya rice mix,Jambalaya pirinç karışımı
5012,japanese beech mushroom,japon kayın mantarı
5013,japanese curry roux,japon körili meyane
5014,japanese eggplant,japon patlıcan
5015,japanese low sodium soy sauce,japon düşük sodyum soya sosu
5016,japanese mayonnaise,japon mayonezi
5017,japanese milk bread,japon sütlü ekmek
5018,japanese pickled radish,japon turp turşusu
5019,japanese potato,japon patates
5020,japanese pumpkin,japon balkabağı
5021,japanese short grain rice,japon kısa taneli pirinç
5022,japanese soy sauce,japon soya sosu
5023,japanese style bread crumb,japon usulü ekmek kırıntısı
5024,japanese style noodle,japon usulü erişte
5025,japanese style panko bread crumb,japon tarzı panko ekmek kırıntısı
5026,japanese sushi rice,japon suşi pirinci
5027,japanese sushi style rice,japon suşi tarzı pirinç
5028,japanese turnip,japon şalgamı
5029,japanese udon noodle,japon udon şehriye
5030,japanese wasabi powder,japon wasabi tozu
5031,jarlsberg cheese,jarlsberg peyniri
5032,jarred bell pepper,közlenmiş biber
5033,jarred canned pear,konserve armut
5034,jarred garlic,Kavanozlu sarımsak
5035,jarred jalapeno,kavanozlu jalapeno
5036,jarred jalapeno pepper,kavanozlu jalapeno biberi
5037,jarred marinara sauce,kavanozlu marinara sosu
5038,jarred pepper,biber
5039,jarred pepper garlic,közlenmiş biber sarımsak
5040,jarred pepper strip,kavanozlu biber şeridi
5041,jarred pickled pepper,kavrulmuş biber turşusu
5042,jarred pimento pepper,kavrulmuş yenibahar biberi
5043,jasmine long grain rice,yasemin uzun taneli pirinç
5044,jasmine rice,yasemin pirinci
5045,jasmine tea,yasemin çayı
5046,jasmine tea leave,yasemin çayı izni
5047,jellied cranberry sauce,jöleli kızılcık sosu
5048,jelly,jöle
5049,jelly bean,jöle fasulye şekerleme
5050,jelly bird egg,jöle kuş yumurtası
5051,jellybean,jöle fasulye şekerleme
5052,jerk marinade,pislik turşusu
5053,jerk paste,pislik macunu
5054,jerk seasoning,pislik baharatı
5055,jerk seasoning mix,pislik baharat karışımı
5056,jerky seasoning,sarsıntılı baharat
5057,jerusalem artichoke,Kudüs enginarı
5058,jewish rye bread,yahudi çavdar ekmeği
5059,jicama,jicama
5060,jim beam,Jim ışın
5061,joan bean,joan fasulyesi
5062,joan kidney bean,joan barbunya fasulyesi
5063,jone dairy farm all natural chicken sausage patty,jones mandıra çiftliği tamamen doğal tavuk sosis köftesi
5064,jone dairy farm all natural mild sausage link,jones mandıra çiftliği tamamen doğal hafif sosis bağlantısı
5065,juice,meyve suyu
5066,juice concentrate,meyve suyu konsantresi
5067,juice concentrate any flavor except citru,meyve suyu konsantresi narenciye hariç herhangi bir aroma
5068,juice from canned jalapeno pepper,konserve jalapeno biberinin suyu
5069,juice from canned pineapple,konserve ananas suyu
5070,juice from jarred jalapeno pepper,kavanozlanmış jalapeno biberinin suyu
5071,juice from jarred pepperoncini pepper,kavanozlanmış pepperoncini biberinden elde edilen meyve suyu
5072,juice lemon,meyve suyu limon
5073,juice pineapple,meyve suyu ananas
5074,juice pulp,meyve suyu hamuru
5075,jujube,hünnap
5076,julienne carrot,jülyen havuç
5077,julienne celery,jülyen kereviz
5078,julienne cut carrot,jülyen kesilmiş havuç
5079,jumbo,büyük
5080,jumbo buttermilk biscuit,jumbo ayran bisküvi
5081,jumbo chicken wing,jumbo tavuk kanadı
5082,jumbo chocolate chip,jumbo çikolata parçacıklı
5083,jumbo lump crabmeat,jumbo parça yengeç eti
5084,jumbo olive,jumbo zeytin
5085,jumbo pasta shell,jumbo makarna kabuğu
5086,jumbo prawn,jumbo karides
5087,jumbo semisweet chocolate chip,jumbo yarı tatlı çikolata parçacıklı
5088,jumbo shrimp,jumbo karides
5089,"jumbo shrimp, and deveined with tails on","jumbo karides, ve kuyrukları ayrılmış"
5090,junior baby food carrot,bebek maması havuç
5091,juniper berry,ardıç meyvesi
5092,just lettuce,sadece marul
5093,jwala chile,jwala şili
5094,kabob stick,kebap çubuğu
5095,kabocha,kaboça
5096,kabocha squash,Kabocha kabağı
5097,kala jeera,kal jeera
5098,kala namak,Kala Namak
5099,kalamansi juice,kalamansi suyu
5100,kalamata olive,Kalamata zeytini
5101,kalamata olive tapenade,Kalamata Zeytin Tapenadı
5102,kalbi style steak marinade,kalbi tarzı biftek turşusu
5103,kale,lahana
5104,kale leave,lahana izni
5105,kale spinach,lahana ıspanağı
5106,kale stem removed discarded,lahana sapı çıkarıldı atıldı
5107,kale trimmed,lahana kesilmiş
5108,kale washed,lahana
5109,kalonji,kalonji
5110,kamaboko,kamaboko
5111,kamut flour,kamut unu
5112,kamut grain,kamut tahılı
5113,kansa city bbq sauce,kansas şehir barbekü sosu
5114,karo corn syrup,karo mısır şurubu
5115,kasha,kaşa
